TPR,FPR,FDR
0.9,0.003292181,0.307692308
0.8,0.001646091,0.2
0.7,0,0
0.9,0.005761317,0.4375
0.8,0,0
0.9,0.000823045,0.1
0.8,0,0
1,0.001646091,0.166666667
0.8,0.000823045,0.111111111
0.7,0,0
0.7,0.001646091,0.222222222
0.8,0.000823045,0.111111111
0.8,0.002469136,0.272727273
0.9,0.000823045,0.1
0.8,0.002469136,0.272727273
0.8,0.000823045,0.111111111
0.6,0,0
1,0.000823045,0.090909091
0.9,0.003292181,0.307692308
0.9,0.000823045,0.1
0.8,0.000823045,0.111111111
0.9,0.003292181,0.307692308
0.8,0,0
0.9,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0.000823045,0.1
0.8,0,0
0.9,0.000823045,0.1
0.9,0.000823045,0.1
0.9,0,0
0.7,0.002469136,0.3
0.9,0.003292181,0.307692308
1,0,0
1,0.000823045,0.090909091
0.8,0,0
0.9,0.000823045,0.1
1,0.006584362,0.444444444
0.7,0,0
0.9,0.000823045,0.1
0.8,0,0
0.9,0.000823045,0.1
0.7,0,0
0.7,0.001646091,0.222222222
0.9,0,0
0.7,0,0
0.9,0.000823045,0.1
0.8,0,0
0.9,0.000823045,0.1
0.8,0,0
0.9,0,0
0.9,0.002469136,0.25
1,0,0
0.8,0,0
1,0,0
0.9,0.003292181,0.307692308
1,0.001646091,0.166666667
0.5,0,0
0.7,0.002469136,0.3
0.9,0.000823045,0.1
0.8,0.000823045,0.111111111
0.5,0.000823045,0.166666667
1,0,0
0.8,0,0
0.8,0.003292181,0.333333333
1,0.002469136,0.230769231
0.4,0,0
0.9,0,0
0.9,0.001646091,0.181818182
0.6,0.000823045,0.142857143
0.9,0,0
0.8,0.002469136,0.272727273
0.8,0,0
0.7,0.002469136,0.3
0.6,0,0
0.9,0.001646091,0.181818182
0.9,0,0
0.9,0,0
0.8,0,0
0.8,0.002469136,0.272727273
0.9,0,0
0.9,0,0
0.9,0.001646091,0.181818182
1,0,0
1,0.008230453,0.5
1,0.002469136,0.230769231
0.8,0,0
0.8,0.004938272,0.428571429
0.8,0,0
0.6,0,0
1,0.001646091,0.166666667
0.7,0,0
1,0,0
0.7,0.000823045,0.125
0.8,0,0
0.75,5.04E-05,0.032258065
0.95,0,0
0.925,0,0
0.95,0,0
0.925,0,0
0.95,0,0
0.975,0,0
1,5.04E-05,0.024390244
1,0,0
0.925,0,0
0.925,5.04E-05,0.026315789
0.925,0,0
0.925,0,0
0.875,0,0
0.9,0,0
0.975,0.000100705,0.048780488
0.9,0,0
0.95,0,0
0.95,0,0
0.95,5.04E-05,0.025641026
0.95,0,0
1,0,0
0.825,0,0
0.925,0,0
0.95,0,0
1,5.04E-05,0.024390244
0.9,0,0
0.775,0,0
0.875,5.04E-05,0.027777778
0.95,5.04E-05,0.025641026
0.975,0,0
0.875,5.04E-05,0.027777778
0.875,0,0
0.925,0,0
0.9,5.04E-05,0.027027027
0.9,0,0
0.975,5.04E-05,0.025
0.975,0,0
0.85,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.925,0,0
0.8,0,0
0.9,0,0
0.9,0,0
0.85,0,0
0.9,5.04E-05,0.027027027
0.875,5.04E-05,0.027777778
0.9,0,0
1,5.04E-05,0.024390244
0.95,5.04E-05,0.025641026
0.95,0,0
0.95,0,0
0.925,0,0
0.925,0,0
0.85,0,0
0.85,0,0
0.95,0.000100705,0.05
0.95,0,0
0.95,0,0
0.975,0,0
0.95,0,0
0.9,5.04E-05,0.027027027
0.975,5.04E-05,0.025
0.975,5.04E-05,0.025
0.925,0,0
0.9,0,0
0.975,0.000151057,0.071428571
0.875,0,0
0.9,0,0
0.975,0,0
0.9,0,0
0.95,0,0
0.975,0,0
0.9,0,0
0.975,0,0
0.95,0,0
1,5.04E-05,0.024390244
0.975,5.04E-05,0.025
0.95,0,0
0.975,0,0
0.925,5.04E-05,0.026315789
0.925,0,0
0.95,0,0
0.9,0,0
0.95,0,0
0.875,0,0
0.95,0,0
0.925,0,0
0.925,0,0
0.9,0,0
0.95,0,0
0.925,5.04E-05,0.026315789
0.925,5.04E-05,0.026315789
1,5.04E-05,0.024390244
0.95,0,0
0.95,5.04E-05,0.025641026
0.975,5.04E-05,0.025
0.9,0,0
0.875,5.04E-05,0.027777778
0.8,0,0
0.8,5.04E-05,0.03030303
0.9,0,0
0.875,0,0
0.95,5.04E-05,0.025641026
0.9,0,0
0.9,0,0
0.95,0,0
0.9,0,0
0.8,0,0
0.875,0,0
0.875,5.04E-05,0.027777778
0.725,0,0
0.85,5.04E-05,0.028571429
0.975,5.04E-05,0.025
0.8,0,0
0.775,0,0
0.875,0.000100705,0.054054054
0.875,0.000100705,0.054054054
0.925,5.04E-05,0.026315789
0.925,0,0
0.825,0,0
0.925,5.04E-05,0.026315789
0.95,0,0
0.875,5.04E-05,0.027777778
0.8,0,0
0.725,0,0
0.875,5.04E-05,0.027777778
0.9,5.04E-05,0.027027027
0.825,0,0
0.825,0,0
0.8,5.04E-05,0.03030303
0.85,0,0
0.825,5.04E-05,0.029411765
0.875,0,0
0.9,5.04E-05,0.027027027
0.95,0,0
0.875,0,0
0.925,0.000151057,0.075
0.825,0,0
0.925,5.04E-05,0.026315789
0.825,0,0
0.775,0,0
0.875,5.04E-05,0.027777778
0.775,0.000100705,0.060606061
0.8,0,0
0.825,0,0
0.825,5.04E-05,0.029411765
0.825,5.04E-05,0.029411765
0.85,0,0
0.9,5.04E-05,0.027027027
0.9,5.04E-05,0.027027027
0.875,0,0
0.85,0,0
0.825,5.04E-05,0.029411765
0.75,0,0
0.875,5.04E-05,0.027777778
0.8,0,0
0.85,0,0
0.875,0,0
0.925,0,0
0.95,5.04E-05,0.025641026
0.85,5.04E-05,0.028571429
0.95,5.04E-05,0.025641026
0.975,0,0
0.85,0,0
0.8,0,0
0.875,5.04E-05,0.027777778
0.825,0,0
0.775,5.04E-05,0.03125
0.875,0,0
0.825,0,0
0.9,0,0
0.975,0,0
0.825,0,0
0.85,0,0
0.825,0,0
0.95,0.000151057,0.073170732
0.875,5.04E-05,0.027777778
0.9,0.000100705,0.052631579
0.875,5.04E-05,0.027777778
0.925,5.04E-05,0.026315789
0.85,0,0
0.85,0,0
0.75,5.04E-05,0.032258065
0.925,0,0
0.825,0,0
0.925,0,0
0.85,0,0
0.875,0,0
0.8,5.04E-05,0.03030303
0.925,0,0
0.825,0.000100705,0.057142857
0.825,0,0
0.925,0,0
0.9,5.04E-05,0.027027027
0.925,0.000100705,0.051282051
0.925,0,0
0.85,0,0
0.65,5.04E-05,0.037037037
0.825,5.04E-05,0.029411765
0.775,0,0
0.9,5.04E-05,0.027027027
0.9,0,0
0.75,0.000100705,0.0625
0.875,5.04E-05,0.027777778
0.775,0,0
0.875,0.000100705,0.054054054
0.8,5.04E-05,0.03030303
0.8,5.04E-05,0.03030303
0.725,0,0
0.675,5.04E-05,0.035714286
0.725,0,0
0.725,5.04E-05,0.033333333
0.8,0,0
0.775,0,0
0.7,5.04E-05,0.034482759
0.65,0,0
0.775,0.000100705,0.060606061
0.8,0,0
0.8,0,0
0.8,5.04E-05,0.03030303
0.775,0,0
0.75,0,0
0.675,0,0
0.675,5.04E-05,0.035714286
0.7,0,0
0.725,0.000100705,0.064516129
0.775,0,0
0.675,0,0
0.625,0,0
0.625,0.000100705,0.074074074
0.675,5.04E-05,0.035714286
0.65,0,0
0.8,0,0
0.8,0,0
0.875,0,0
0.8,0,0
0.725,0,0
0.8,5.04E-05,0.03030303
0.65,0,0
0.775,0,0
0.75,0.000100705,0.0625
0.8,5.04E-05,0.03030303
0.775,0.00020141,0.114285714
0.675,0,0
0.65,5.04E-05,0.037037037
0.8,0.000151057,0.085714286
0.75,0,0
0.725,5.04E-05,0.033333333
0.825,0,0
0.875,5.04E-05,0.027777778
0.775,0,0
0.825,0,0
0.5,5.04E-05,0.047619048
0.75,5.04E-05,0.032258065
0.825,0.00020141,0.108108108
0.55,0,0
0.825,0,0
0.675,0,0
0.8,0,0
0.875,5.04E-05,0.027777778
0.725,0,0
0.9,0.000100705,0.052631579
0.875,0,0
0.625,0,0
0.875,0.000100705,0.054054054
0.85,5.04E-05,0.028571429
0.675,0,0
0.85,0.000100705,0.055555556
0.9,0.000151057,0.076923077
0.55,0,0
0.725,5.04E-05,0.033333333
0.8,0,0
0.75,0,0
0.85,0,0
0.775,0,0
0.825,5.04E-05,0.029411765
0.75,0.000100705,0.0625
0.825,5.04E-05,0.029411765
0.875,0.000100705,0.054054054
0.85,0,0
0.775,0,0
0.825,0,0
0.75,5.04E-05,0.032258065
0.85,0,0
0.85,0,0
0.875,0,0
0.8,5.04E-05,0.03030303
0.7,0,0
0.725,0,0
0.875,0,0
0.8,0,0
0.8,0.000100705,0.058823529
0.475,0,0
0.725,0,0
0.675,0,0
0.8,0.000251762,0.135135135
0.725,5.04E-05,0.033333333
0.4,0,0
0.575,0,0
0.575,0,0
0.775,0,0
0.75,0,0
0.3,0,0
0.675,5.04E-05,0.035714286
0.725,5.04E-05,0.033333333
0.625,0.000151057,0.107142857
0.65,0.000100705,0.071428571
0.65,5.04E-05,0.037037037
0.5,5.04E-05,0.047619048
0.5,5.04E-05,0.047619048
0.625,0,0
0.525,5.04E-05,0.045454545
0.575,5.04E-05,0.041666667
0.425,0,0
0.575,0,0
0.425,5.04E-05,0.055555556
0.5,5.04E-05,0.047619048
0.75,0.00020141,0.117647059
0.65,5.04E-05,0.037037037
0.675,0.000151057,0.1
0.675,0,0
0.725,0,0
0.675,0.000100705,0.068965517
0.55,5.04E-05,0.043478261
0.55,0,0
0.45,0,0
0.65,0.000100705,0.071428571
0.625,0,0
0.425,0,0
0.525,0,0
0.5,0.00020141,0.166666667
0.575,0,0
0.575,0,0
0.675,0.000100705,0.068965517
0.6,0,0
0.7,0.000100705,0.066666667
0.675,5.04E-05,0.035714286
0.65,0,0
0.6,0,0
0.725,5.04E-05,0.033333333
0.65,0.000100705,0.071428571
0.65,0.000100705,0.071428571
0.575,0.00020141,0.148148148
0.6,0,0
0.575,5.04E-05,0.041666667
0.55,5.04E-05,0.043478261
0.575,0,0
0.75,0.000302115,0.166666667
0.75,0,0
0.75,0,0
0.525,0,0
0.75,0,0
0.375,0,0
0.65,0.000100705,0.071428571
0.625,0,0
0.5,5.04E-05,0.047619048
0.675,0,0
0.55,0,0
0.7,5.04E-05,0.034482759
0.5,0,0
0.625,0.000151057,0.107142857
0.675,5.04E-05,0.035714286
0.675,5.04E-05,0.035714286
0.525,0,0
0.7,0.000100705,0.066666667
0.625,0.000151057,0.107142857
0.55,5.04E-05,0.043478261
0.45,5.04E-05,0.052631579
0.725,0.000100705,0.064516129
0.3,0,0
0.675,0.000151057,0.1
0.6,5.04E-05,0.04
0.65,5.04E-05,0.037037037
0.725,0.000100705,0.064516129
0.6,0,0
0.575,5.04E-05,0.041666667
0.45,5.04E-05,0.052631579
0.6,0,0
0.625,0,0
0.675,0,0
0.525,0,0
0.55,5.04E-05,0.043478261
0.7,0.000151057,0.096774194
0.625,0,0
0.5,0,0
0.825,0,0
0.55,5.04E-05,0.043478261
0.5,5.04E-05,0.047619048
0.475,5.04E-05,0.05
0.6,5.04E-05,0.04
0.775,0,0
0.45,5.04E-05,0.052631579
0.5,0,0
0.575,5.04E-05,0.041666667
0.55,5.04E-05,0.043478261
0.575,0.000100705,0.08
0.625,5.04E-05,0.038461538
0.89,0,0
0.84,0,0
0.88,0,0
0.96,8.02E-06,0.010309278
0.84,8.02E-06,0.011764706
0.9,0,0
0.92,0,0
0.94,8.02E-06,0.010526316
0.88,0,0
0.85,0,0
0.87,0,0
0.91,0,0
0.89,0,0
0.89,0,0
0.93,0,0
0.87,0,0
0.94,0,0
0.88,8.02E-06,0.011235955
0.95,0,0
0.84,0,0
0.85,8.02E-06,0.011627907
0.93,1.60E-05,0.021052632
0.88,0,0
0.91,0,0
0.93,8.02E-06,0.010638298
0.96,0,0
0.88,0,0
0.95,0,0
0.87,0,0
0.89,0,0
0.88,0,0
0.86,0,0
0.94,0,0
0.93,0,0
0.92,0,0
0.94,0,0
0.92,8.02E-06,0.010752688
0.91,0,0
0.95,1.60E-05,0.020618557
0.91,0,0
0.9,0,0
0.92,8.02E-06,0.010752688
0.94,1.60E-05,0.020833333
0.82,0,0
0.89,0,0
0.92,0,0
0.97,0,0
0.92,8.02E-06,0.010752688
0.86,0,0
0.91,0,0
0.96,1.60E-05,0.020408163
0.93,8.02E-06,0.010638298
0.91,8.02E-06,0.010869565
0.9,0,0
0.88,8.02E-06,0.011235955
0.92,0,0
0.97,8.02E-06,0.010204082
0.91,0,0
0.91,8.02E-06,0.010869565
0.92,1.60E-05,0.021276596
0.87,0,0
0.93,0,0
0.83,0,0
0.9,8.02E-06,0.010989011
0.92,8.02E-06,0.010752688
0.87,0,0
0.89,0,0
0.93,1.60E-05,0.021052632
0.91,0,0
0.92,0,0
0.95,0,0
0.92,0,0
0.91,0,0
0.93,8.02E-06,0.010638298
0.89,8.02E-06,0.011111111
0.92,0,0
0.91,0,0
0.85,8.02E-06,0.011627907
0.94,8.02E-06,0.010526316
0.88,0,0
0.96,0,0
0.9,8.02E-06,0.010989011
0.89,0,0
0.91,0,0
0.82,0,0
0.93,0,0
0.86,8.02E-06,0.011494253
0.92,0,0
0.85,8.02E-06,0.011627907
0.94,0,0
0.93,0,0
0.94,8.02E-06,0.010526316
0.92,0,0
0.91,0,0
0.93,0,0
0.86,0,0
0.87,0,0
0.9,8.02E-06,0.010989011
0.93,0,0
0.91,8.02E-06,0.010869565
0.87,3.21E-05,0.043956044
0.74,0,0
0.78,8.02E-06,0.012658228
0.91,2.41E-05,0.031914894
0.67,8.02E-06,0.014705882
0.85,0,0
0.8,0,0
0.78,0,0
0.75,0,0
0.79,0,0
0.8,1.60E-05,0.024390244
0.78,0,0
0.84,8.02E-06,0.011764706
0.82,0,0
0.89,0,0
0.85,1.60E-05,0.022988506
0.88,0,0
0.82,8.02E-06,0.012048193
0.83,0,0
0.73,8.02E-06,0.013513514
0.72,8.02E-06,0.01369863
0.82,8.02E-06,0.012048193
0.82,0,0
0.84,0,0
0.8,8.02E-06,0.012345679
0.79,2.41E-05,0.036585366
0.78,8.02E-06,0.012658228
0.9,0,0
0.69,0,0
0.86,8.02E-06,0.011494253
0.72,0,0
0.83,0,0
0.87,0,0
0.73,0,0
0.79,0,0
0.88,0,0
0.82,0,0
0.85,8.02E-06,0.011627907
0.85,0,0
0.89,0,0
0.82,8.02E-06,0.012048193
0.78,8.02E-06,0.012658228
0.81,1.60E-05,0.024096386
0.72,0,0
0.83,8.02E-06,0.011904762
0.83,0,0
0.84,0,0
0.83,1.60E-05,0.023529412
0.79,0,0
0.83,0,0
0.91,4.01E-05,0.052083333
0.83,0,0
0.79,0,0
0.84,8.02E-06,0.011764706
0.63,0,0
0.86,0,0
0.84,8.02E-06,0.011764706
0.77,0,0
0.77,0,0
0.83,8.02E-06,0.011904762
0.85,0,0
0.81,8.02E-06,0.012195122
0.73,8.02E-06,0.013513514
0.83,8.02E-06,0.011904762
0.84,0,0
0.72,0,0
0.77,0,0
0.89,1.60E-05,0.021978022
0.74,0,0
0.81,0,0
0.85,8.02E-06,0.011627907
0.79,0,0
0.82,0,0
0.78,8.02E-06,0.012658228
0.8,8.02E-06,0.012345679
0.79,8.02E-06,0.0125
0.88,0,0
0.79,8.02E-06,0.0125
0.85,1.60E-05,0.022988506
0.85,8.02E-06,0.011627907
0.9,0,0
0.79,0,0
0.73,0,0
0.8,0,0
0.72,8.02E-06,0.01369863
0.86,0,0
0.73,0,0
0.81,8.02E-06,0.012195122
0.78,8.02E-06,0.012658228
0.78,8.02E-06,0.012658228
0.87,8.02E-06,0.011363636
0.82,8.02E-06,0.012048193
0.83,8.02E-06,0.011904762
0.88,0,0
0.82,0,0
0.75,0,0
0.79,8.02E-06,0.0125
0.78,0,0
0.82,0,0
0.77,0,0
0.76,8.02E-06,0.012987013
0.55,0,0
0.71,3.21E-05,0.053333333
0.76,2.41E-05,0.037974684
0.58,8.02E-06,0.016949153
0.72,0,0
0.74,8.02E-06,0.013333333
0.65,0,0
0.58,0,0
0.66,8.02E-06,0.014925373
0.63,8.02E-06,0.015625
0.65,8.02E-06,0.015151515
0.67,0,0
0.78,1.60E-05,0.025
0.56,0,0
0.67,8.02E-06,0.014705882
0.66,2.41E-05,0.043478261
0.76,0,0
0.65,8.02E-06,0.015151515
0.72,2.41E-05,0.04
0.61,8.02E-06,0.016129032
0.69,0,0
0.59,0,0
0.73,1.60E-05,0.026666667
0.63,0,0
0.65,8.02E-06,0.015151515
0.68,0,0
0.8,0,0
0.61,8.02E-06,0.016129032
0.64,0,0
0.68,8.02E-06,0.014492754
0.72,8.02E-06,0.01369863
0.58,0,0
0.65,0,0
0.74,0,0
0.69,8.02E-06,0.014285714
0.6,0,0
0.74,8.02E-06,0.013333333
0.63,0,0
0.81,2.41E-05,0.035714286
0.61,0,0
0.62,8.02E-06,0.015873016
0.77,1.60E-05,0.025316456
0.68,0,0
0.63,0,0
0.71,8.02E-06,0.013888889
0.72,1.60E-05,0.027027027
0.68,8.02E-06,0.014492754
0.64,0,0
0.61,0,0
0.73,2.41E-05,0.039473684
0.67,1.60E-05,0.028985507
0.55,0,0
0.73,8.02E-06,0.013513514
0.63,0,0
0.7,0,0
0.68,1.60E-05,0.028571429
0.65,1.60E-05,0.029850746
0.64,0,0
0.69,8.02E-06,0.014285714
0.66,0,0
0.74,8.02E-06,0.013333333
0.61,8.02E-06,0.016129032
0.58,8.02E-06,0.016949153
0.72,8.02E-06,0.01369863
0.7,8.02E-06,0.014084507
0.69,0,0
0.66,8.02E-06,0.014925373
0.67,0,0
0.71,1.60E-05,0.02739726
0.77,0,0
0.78,0,0
0.64,0,0
0.68,8.02E-06,0.014492754
0.72,1.60E-05,0.027027027
0.68,2.41E-05,0.042253521
0.78,0,0
0.68,0,0
0.74,0,0
0.77,2.41E-05,0.0375
0.74,0,0
0.63,8.02E-06,0.015625
0.52,0,0
0.7,0,0
0.62,8.02E-06,0.015873016
0.76,1.60E-05,0.025641026
0.7,8.02E-06,0.014084507
0.74,8.02E-06,0.013333333
0.7,2.41E-05,0.04109589
0.75,2.41E-05,0.038461538
0.71,8.02E-06,0.013888889
0.74,2.41E-05,0.038961039
0.73,8.02E-06,0.013513514
0.76,8.02E-06,0.012987013
0.64,8.02E-06,0.015384615
0.72,0,0
0.74,8.02E-06,0.013333333
0.66,8.02E-06,0.014925373
0.66,0,0
0.66,0,0
0.51,0,0
0.49,8.02E-06,0.02
0.49,2.41E-05,0.057692308
0.41,0,0
0.54,0,0
0.47,0,0
0.51,8.02E-06,0.019230769
0.54,8.02E-06,0.018181818
0.46,0,0
0.47,2.41E-05,0.06
0.38,8.02E-06,0.025641026
0.38,8.02E-06,0.025641026
0.39,8.02E-06,0.025
0.56,1.60E-05,0.034482759
0.5,0,0
0.42,0,0
0.47,2.41E-05,0.06
0.46,8.02E-06,0.021276596
0.44,8.02E-06,0.022222222
0.53,0,0
0.41,0,0
0.4,0,0
0.5,0,0
0.54,8.02E-06,0.018181818
0.39,8.02E-06,0.025
0.47,2.41E-05,0.06
0.54,8.02E-06,0.018181818
0.55,0,0
0.43,2.41E-05,0.065217391
0.49,1.60E-05,0.039215686
0.51,0,0
0.57,2.41E-05,0.05
0.47,1.60E-05,0.040816327
0.41,0,0
0.57,1.60E-05,0.033898305
0.48,8.02E-06,0.020408163
0.55,0,0
0.49,2.41E-05,0.057692308
0.44,2.41E-05,0.063829787
0.41,0,0
0.5,0,0
0.28,0,0
0.59,0,0
0.55,8.02E-06,0.017857143
0.51,8.02E-06,0.019230769
0.54,2.41E-05,0.052631579
0.6,1.60E-05,0.032258065
0.49,1.60E-05,0.039215686
0.44,0,0
0.42,0,0
0.62,4.01E-05,0.074626866
0.4,0,0
0.43,0,0
0.45,0,0
0.47,0,0
0.55,0,0
0.42,2.41E-05,0.066666667
0.46,8.02E-06,0.021276596
0.4,8.02E-06,0.024390244
0.37,0,0
0.4,2.41E-05,0.069767442
0.56,0,0
0.44,0,0
0.43,8.02E-06,0.022727273
0.52,0,0
0.55,1.60E-05,0.035087719
0.54,2.41E-05,0.052631579
0.5,8.02E-06,0.019607843
0.49,0,0
0.39,3.21E-05,0.093023256
0.6,1.60E-05,0.032258065
0.61,8.02E-06,0.016129032
0.53,0,0
0.46,0,0
0.64,4.01E-05,0.072463768
0.47,1.60E-05,0.040816327
0.63,0,0
0.47,0,0
0.61,4.81E-05,0.089552239
0.5,8.02E-06,0.019607843
0.63,0,0
0.4,1.60E-05,0.047619048
0.32,0,0
0.54,1.60E-05,0.035714286
0.41,8.02E-06,0.023809524
0.46,1.60E-05,0.041666667
0.58,4.01E-05,0.079365079
0.52,4.01E-05,0.087719298
0.47,8.02E-06,0.020833333
0.48,8.02E-06,0.020408163
0.53,0,0
0.43,1.60E-05,0.044444444
0.52,8.02E-06,0.018867925
0.51,0,0
0.52,8.02E-06,0.018867925
0.57,1.60E-05,0.033898305
0.44,0,0
0.43,0,0
0.4,0,0
0.54,8.02E-06,0.018181818
